"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"1","agribusiness","Tier III",1,"1.622","10","0.701","19","0.939","0.00069","1"
"2","agricultural and food economics","Tier III",1,"0.534","4",NA,NA,NA,NA,"1"
"3","applied economic perspectives and policy","Tier I",1,"3.598","19","0.784","37","1.361","0.00223","1"
"4","biobased and applied economics journal","Tier III",1,"2.084","5",NA,NA,NA,NA,"1"
"5","china agricultural economic review","Tier III",1,"0.5","6","0.359","12","0.577","0.00056","1"
"6","economics bulletin","Tier III",1,"1.031","16","0.199","21",NA,NA,"1"
"7","international advances in economic research","Tier III",1,"0.394","5","0.165","19",NA,NA,"1"
"8","international journal of life cycle assessment","Tier I",1,NA,NA,"1.328","77","3.173","0.00663","0"
"9","journal of agricultural science","Tier III",1,NA,NA,"0.522","57","1.291","0.00282","0"
"10","journal of consumer affairs","Tier III",1,"0.681","5","0.44","47","1.26","0.00087","1"
"11","journal of development economics","Tier I",1,"16.975","56",NA,NA,"1.889","0.02019","1"
"12","journal of economic growth","Tier I",1,"20.755","27","4.126","70","3.44","0.00387","1"
"13","journal of family and economic issues","Tier III",1,"0.794","8","0.428","36",NA,NA,"1"
"14","journal of fish and wildlife management","Tier III",1,NA,NA,"0.438","12","0.633","0.00075","0"
"15","journal of foodservice business research","Tier III",1,NA,NA,"0.344","13",NA,NA,"0"
"16","journal of life sciences","Tier III",1,NA,NA,NA,NA,NA,NA,"0"
"17","journal of productivity analysis","Tier II",1,"4.169","18","0.904","59","1.101","0.00271","1"
"18","journal of water resources planning and management",NA,1,NA,NA,NA,NA,"3.537","0.0043","0"
"19","natural resource modeling",NA,1,NA,NA,NA,NA,"0.426","6e-04","0"
"20","nutrition journal","Tier II",1,NA,NA,"1.374","58","3.211","0.00928","0"
"21","pest management science","Tier I",1,NA,NA,"1.176","96","3.253","0.01286","0"
"22","physiology and behavior",NA,1,NA,NA,"1.05","132","2.341","0.02157","0"
"174","physiology and behavior",NA,1,NA,NA,"1.05","132","2.341","0.02157","0"
"23","psychology and marketing",NA,1,NA,NA,"1.291","84","2","0.0029","0"
"24","regional studies, regional science",NA,1,NA,NA,"0.231","5",NA,NA,"1"
"25","research policy","Tier I",1,"7.447","37","3.625","178","4.495","0.01737","0"
"26","risk analysis","Tier I",1,NA,NA,"0.955","99","2.518","0.01009","0"
"27","rural sociology","Tier II",1,NA,NA,"1.205","52","1.718","0.00097","0"
"28","sustainable agriculture research",NA,1,"0.082","2",NA,NA,NA,NA,"0"
"29","american economic review","Tier I",1,"22.608","100","10.49","223","4.026","0.13008","1"
"30","american journal of agricultural economics","Tier I",1,"5.359","28","1.428","84","1.829","0.00655","1"
"31","american journal of clinical nutrition","Tier I",1,NA,NA,"3.664","283","6.926","0.06065","0"
"32","american journal of health promotion","Tier II",1,NA,NA,"0.778","78","2.586","0.00409","0"
"33","american journal of law and medicine",NA,1,NA,NA,"0.341","24","0.732","0.00048","0"
"34","biomass and bioenergy","Tier I",1,NA,NA,"1.188","138","3.219","0.02793","0"
"35","chinese economy","Tier III",1,"0.58","4","0.255","10",NA,NA,"1"
"36","eastern economic journal","Tier III",1,"0.918","9","0.18","14",NA,NA,"1"
"37","economic and political weekly","Tier III",1,NA,NA,"0.295","33",NA,NA,"1"
"38","energies","Tier III",1,"0.384","13","0.691","48","2.262","0.01363","0"
"39","foodborne pathogens and disease","Tier II",1,NA,NA,"1.043","51","2.12","0.00748","0"
"40","global change biology",NA,1,NA,NA,"4.768","190","8.502","0.07559","0"
"41","international business research","Tier III",1,"0.009","1",NA,NA,NA,NA,"1"
"42","journal of developing areas","Tier III",1,"0.458","8",NA,NA,NA,NA,"1"
"43","journal of economic entomology","Tier I",1,NA,NA,"0.901","83","1.824","0.00968","0"
"44","journal of environmental psychology",NA,1,NA,NA,"1.805","97","3.494","0.00545","0"
"45","journal of marriage and family","Tier I",1,NA,NA,"2.046","128","2.238","0.00792","0"
"46","journal of nutrition education and behavior","Tier III",1,NA,NA,"1.017","60","2.491","0.00446","0"
"47","journal of physics: conference series",NA,1,NA,NA,"0.24","52",NA,NA,"0"
"48","journal of policy modeling","Tier II",1,"3.893","18","0.716","38","0.993","0.00174","1"
"49","journal of poverty","Tier III",1,NA,NA,"0.304","11",NA,NA,"0"
"50","marine resource economics","Tier III",1,"0.604","4","0.866","35","1.911","0.00068","1"
"51","preventing chronic disease",NA,1,NA,NA,"1.256","55","1.802","0.01193","0"
"52","professional geographer","Tier III",1,NA,NA,"0.774","58","1.276","0.00206","0"
"53","science","Tier I",1,NA,NA,"13.535","978","37.205","1.15823","0"
"54","small business economics","Tier II",1,"5.619","24","2.15","92","2.421","0.0062","1"
"55","social forces","Tier I",1,NA,NA,"2.226","102","2.113","0.0073","0"
"56","social indicators research","Tier II",1,NA,NA,"0.914","76","1.743","0.01033","0"
"57","southern economic journal","Tier II",1,"3.328","17","0.499","45","0.584","0.00247","1"
"58","agbioforum","Tier III",1,NA,NA,"0.214","35",NA,NA,"1"
"59","agricultural systems","Tier I",1,"1.262","12","0.965","82","2.571","0.00554","0"
"60","applied energy","Tier II",1,"2.585","39","3.058","125","7.182","0.08843","0"
"61","choices","Tier III",1,"0.959","8",NA,NA,NA,NA,"1"
"62","economic development quarterly","Tier III",1,"0.966","7","0.628","36","0.673","0.00065","1"
"63","european journal of operations research",NA,1,NA,NA,"2.437",NA,NA,NA,"1"
