Journal Name,No. of ERS articles 2009 - 2015,ERS Tier,REPEC Impact Factor,RePec H index,SCImago Journal Rank ,SCImago H Index,Eigen Factor EF,Eigenfactor Article Influence Score,TR Ordinal Ranking,Journal Impact Factor,Eigenfactor,Article Influence Score
Food Policy,19,Tier I,2.632,23,1.258,45,0.004198,0.867,91,2.212,0.00266,2.06
American Economic Review,1,Tier I,18.499,87,9.728,165,0.100417,5.6739,67,2.792,0.01316,4.009
Energy Economics,7,Tier I,6.045,42,2.025,66,0.012057,1.1394,74,2.538,0.0019,0.858
Environmental and Resource Economics,2,Tier I,5.409,25,1.632,54,,,,,,
Ecological Economics,2,Tier I,3.699,44,,,0.026583,1.0809,62,2.855,0.00396,0.76
Journal of Economic Perspectives,4,Tier I,19.976,106,8.485,116,0.027738,6.8128,30,3.489,0.0046,0.633
Journal of Economic Geography,1,Tier I,6.027,24,2.898,54,0.005961,2.0188,71,2.6,0.00193,0.631
World Development,5,Tier I,4.222,49,1.472,94,0.013507,1.0689,187,1.527,0.00001,
Land Economics,11,Tier I,4.377,35,1.669,55,0.003435,0.9226,260,1.261,0.00073,
Regional Science and Urban Economics,3,Tier I,4.85,42,1.334,45,0.00431,1.0001,269,1.228,0.00025,
Journal of Development Economics,3,Tier I,14.581,6,,,0.016046,2.3394,82,2.353,0.00586,0.869
American Journal of Agricultural Economics,59,Tier I,5.009,28,1.309,62,0.007134,0.7177,339,0.99,0.00258,1.696
Journal of Health Economics,1,Tier I,7.213,34,2.496,74,0.014176,1.987,176,1.6,0.00165,0.327
Review of Economics and Statistics,1,Tier I,19.522,55,6.516,97,0.025322,4.3972,83,2.346,0.00118,0
European Review of Agricultural Economics,3,Tier I,3.715,36,1.012,34,0.001683,0.8119,135,1.854,0.00461,1.069
Journal of Urban Economics,1,Tier I,9.812,30,3.289,57,0.009605,1.7814,126,1.91,0.00075,0
Journal of Population Economics,1,Tier I,7.188,27,2.455,42,0.00366,0.8753,236,1.336,0.00141,0.371
Journal of Economic Entomology,1,Tier I,,,0.92,65,0.0117,0.4694,,,,
Applied Economic Perspectives and Policy,29,Tier I,2.241,13,1.094,25,0.02105,0.977,172,1.621,0.02105,0.977
Health Economics,2,Tier I,1.775,29,1.771,73,0.01132,1.2545,89,2.232,0.00158,0.679
Economic Development and Cultural Change,2,Tier I,5.766,21,1.177,42,0.002601,1.0505,357,0.943,0.00318,0.681
Journal of Economic Growth,1,Tier I,24.797,28,5.251,54,0.00439,4.3403,88,2.25,0.00105,0
Journal of Agricultural Economics,6,Tier II,3.5,23,1.052,36,0.002003,0.6956,193,1.5,0.00064,
Applied Energy,1,Tier II,0.651,15,3.385,67,0.016815,0.874,,,,
Resource and Energy Economics,3,Tier II,4.804,16,,,0.002126,0.9201,194,1.495,0.00013,0
Agricultural Economics,24,Tier II,4.178,30,0.703,43,0.00866,0.5476,327,1.03,0.00741,2.453
Australian Journal of Agricultural and Resource Economics,3,Tier II,2.511,25,0.788,30,0.001539,0.5556,216,1.415,0.00389,1.119
Small Business Economics,2,Tier II,5.099,25,1.444,64,0.003964,0.7947,295,1.13,0.00038,0.129
China Economic Review,1,Tier II,3.252,17,0.989,34,0.001885,0.4642,224,1.39,0.00456,0.482
Journal of Agricultural and Applied Economics,33,Tier II,1.378,16,,,,,,,,
Agricultural Finance Review,18,Tier II,1,7,,,,,,,,
Applied Economics,5,Tier II,2.198,31,0.551,45,0.007437,0.3146,598,0.437,0.00275,1.27
Economics Letters,1,Tier II,2.659,2,0.748,53,0.014573,0.5204,561,0.509,0.00191,2.959
Economics and Human Biology,2,Tier II,,,2.093,29,,,,,,
Housing Studies,1,Tier II,,,1.084,40,0.001553,0.3976,,,,
Quantitative Marketing and Economics,1,Tier II,2.45,11,3.976,15,0.002775,2.0176,,,,
Journal of Development Studies,5,Tier II,3.111,32,0.887,46,0.004182,0.6405,384,0.872,0.00068,
Empirical Economics,3,Tier II,3.533,33,0.489,31,0.003,0.516,504,0.614,0.00233,0.878
Applied Economics Letters,3,Tier II,1.089,20,0.286,28,0.004043,0.1705,665,0.295,0.00953,1.487
Economic Systems Research,1,Tier II,1.748,9,1.283,29,0.00127,1.0821,99,2.098,0.00126,0
Review of Agricultural Economics,11,Tier II,2.241,13,,,0.001866,0.4846,,,,
Journal of Productivity Analysis,8,Tier II,3.427,22,0.825,48,0.001941,0.6224,318,1.068,0.00036,
Journal of Agricultural and Resource Economics,16,Tier II,2.122,23,0.485,28,0.00092,0.3197,479,0.671,0.001,
Canadian Journal of Agricultural Economics,3,Tier II,2.395,15,0.408,20,0.001235,0.4156,455,0.724,0.00583,1.885
Contemporary Economic Policy,3,Tier II,2.034,20,0.312,31,0.00207,0.5177,479,0.671,0.00349,1.867
Journal of Applied Economics,2,Tier II,2.482,16,0.225,9,0.00029,0.1839,581,0.469,0.0026,0.594
Review of World Economics,2,Tier II,7.298,24,0.974,30,0.00191,0.0609,402,0.829,0.00026,0.071
Southern Economic Journal,1,Tier II,3.143,15,0.606,34,0.003867,0.7029,601,0.427,0.00013,0.112
Journal of Policy Modeling,2,Tier II,2.877,15,0.661,28,0.002041,0.3244,448,0.737,0.00165,0
Climate Change Economics,2,Tier II,2.222,9,,,,,,,,
Journal of International Development,1,Tier III,1.218,21,0.615,34,,,,,,
Marine Resource Economics,1,Tier III,,,0.599,26,0.000847,0.4327,260,1.261,0.00042,0
Agribusiness,12,Tier III,1.365,13,0.466,10,0.000691,0.3064,437,0.763,0.01435,3.95
Economic Development Quarterly,4,Tier III,0.425,3,0.524,27,0.0000716,0.3098,503,0.618,0.01433,1.107
Review of Industrial Organization,2,Tier III,2.545,24,0.488,34,0.001924,0.5894,387,0.87,0.00007,0.068
Economics of Governance,1,Tier III,2.669,10,0.408,14,0.002351,0.9859,516,0.588,0.0012,0.479
Forest Policy and Economics,2,Tier III,0.452,6,1.074,34,0.002675,0.4353,,,,
Journal of Consumer Affairs,2,Tier III,0.442,2,0.877,34,0.001061,0.4861,321,1.047,0.00153,0.484
Choices,46,Tier III,0.871,9,,,,,,,,
Health Economics Review,3,Tier III,0.096,1,,,,,,,,
Journal of Consumer Policy,2,Tier III,0.733,7,0.44,23,,,,,,
Journal of Agribusiness,2,Tier III,0.721,3,,,,,,,,
Journal of Agribusiness in Developing and Emerging Economies,1,Tier III,0.4,2,,,,,,,,
Agricultural and Resource Economics Review,22,Tier III,1.234,15,0.371,15,,,,,,
China Agricultural Economic Review,5,Tier III,0.319,3,0.419,6,0.000005,0.0525,574,0.476,0.00119,
EuroChoices,6,Tier III,0.373,2,0.152,7,,,,,,
