"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag","pc_score","PC_tier","nonecon_tier","econ_tier"
"1","agribusiness","Tier III",1,1.622,10,0.701,19,0.939,0.00069,1,1.97550523922539,"Tier II",NA,NA
"2","agricultural and food economics","Tier III",1,0.534,4,NA,NA,NA,NA,1,0.97127023784966,"Tier III",NA,NA
"3","applied economic perspectives and policy","Tier I",1,3.598,19,0.784,37,1.361,0.00223,1,3.05456070567757,"Tier II",NA,NA
"4","biobased and applied economics journal","Tier III",1,2.084,5,NA,NA,NA,NA,1,1.39869203342439,"Tier III",NA,NA
"5","china agricultural economic review","Tier III",1,0.5,6,0.359,12,0.577,0.00056,1,0.840580430215766,"Tier III",NA,NA
"6","economics bulletin","Tier III",1,1.031,16,0.199,21,NA,NA,1,1.36313345210922,"Tier III",NA,NA
"7","international advances in economic research","Tier III",1,0.394,5,0.165,19,NA,NA,1,0.177704716975356,"Tier III",NA,NA
"8","international journal of life cycle assessment","Tier I",1,NA,NA,1.328,77,3.173,0.00663,0,2.91957276652342,"Tier II",NA,NA
"9","journal of agricultural science","Tier III",1,NA,NA,0.522,57,1.291,0.00282,0,2.05719406648854,"Tier II",NA,NA
"10","journal of consumer affairs","Tier III",1,0.681,5,0.44,47,1.26,0.00087,1,1.64620615774347,"Tier II",NA,NA
"11","journal of development economics","Tier I",1,16.975,56,NA,NA,1.889,0.02019,1,5.4311175648607,"Tier I",NA,NA
"12","journal of economic growth","Tier I",1,20.755,27,4.126,70,3.44,0.00387,1,4.91095920322708,"Tier I",NA,NA
"13","journal of family and economic issues","Tier III",1,0.794,8,0.428,36,NA,NA,1,1.59002183112535,"Tier III",NA,NA
"14","journal of fish and wildlife management","Tier III",1,NA,NA,0.438,12,0.633,0.00075,0,1.40246744739056,"Tier III",NA,NA
"15","journal of foodservice business research","Tier III",1,NA,NA,0.344,13,NA,NA,0,-1.45875028913827,"Tier III",NA,NA
"16","journal of life sciences","Tier III",1,NA,NA,NA,NA,NA,NA,0,-1.73088614852908,"Tier III",NA,NA
"17","journal of productivity analysis","Tier II",1,4.169,18,0.904,59,1.101,0.00271,1,3.24226044172921,"Tier I",NA,NA
"18","journal of water resources planning and management",NA,1,NA,NA,NA,NA,3.537,0.0043,0,4.55135862233639,"Tier I",NA,NA
"19","natural resource modeling",NA,1,NA,NA,NA,NA,0.426,6e-04,0,0.636752389188698,"Tier III",NA,NA
"20","nutrition journal","Tier II",1,NA,NA,1.374,58,3.211,0.00928,0,3.05564487617486,"Tier II",NA,NA
"21","pest management science","Tier I",1,NA,NA,1.176,96,3.253,0.01286,0,3.16006926675257,"Tier I",NA,NA
"22","physiology and behavior",NA,1,NA,NA,1.05,132,2.341,0.02157,0,3.60257382723451,"Tier I",NA,NA
"23","physiology and behavior",NA,1,NA,NA,1.05,132,2.341,0.02157,0,3.60257382723451,"Tier I",NA,NA
"24","psychology and marketing",NA,1,NA,NA,1.291,84,2,0.0029,0,3.09627042266078,"Tier II",NA,NA
"25","regional studies, regional science",NA,1,NA,NA,0.231,5,NA,NA,1,-1.76216874076981,"Tier III",NA,NA
"26","research policy","Tier I",1,7.447,37,3.625,178,4.495,0.01737,0,5.37186698698414,"Tier I",NA,NA
"27","risk analysis","Tier I",1,NA,NA,0.955,99,2.518,0.01009,0,3.03830866199392,"Tier II",NA,NA
"28","rural sociology","Tier II",1,NA,NA,1.205,52,1.718,0.00097,0,2.52965446101592,"Tier II",NA,NA
"29","sustainable agriculture research",NA,1,0.082,2,NA,NA,NA,NA,0,-1.7114528897363,"Tier III",NA,NA
"30","american economic review","Tier I",1,22.608,100,10.49,223,4.026,0.13008,1,6.9553521365903,"Tier I",NA,NA
"31","american journal of agricultural economics","Tier I",1,5.359,28,1.428,84,1.829,0.00655,1,4.11305372990471,"Tier I",NA,NA
"32","american journal of clinical nutrition","Tier I",1,NA,NA,3.664,283,6.926,0.06065,0,5.73894190259028,"Tier I",NA,NA
"33","american journal of health promotion","Tier II",1,NA,NA,0.778,78,2.586,0.00409,0,2.96607645978008,"Tier II",NA,NA
"34","american journal of law and medicine",NA,1,NA,NA,0.341,24,0.732,0.00048,0,0.909981329920527,"Tier III",NA,NA
"35","biomass and bioenergy","Tier I",1,NA,NA,1.188,138,3.219,0.02793,0,3.85336429655093,"Tier I",NA,NA
"36","chinese economy","Tier III",1,0.58,4,0.255,10,NA,NA,1,0.0275934582400069,"Tier III",NA,NA
"37","eastern economic journal","Tier III",1,0.918,9,0.18,14,NA,NA,1,0.75840882872445,"Tier III",NA,NA
"38","economic and political weekly","Tier III",1,NA,NA,0.295,33,NA,NA,1,1.53979945370232,"Tier III",NA,NA
"39","energies","Tier III",1,0.384,13,0.691,48,2.262,0.01363,0,2.79779982141297,"Tier II",NA,NA
"40","foodborne pathogens and disease","Tier II",1,NA,NA,1.043,51,2.12,0.00748,0,2.9575141317358,"Tier II",NA,NA
"41","global change biology",NA,1,NA,NA,4.768,190,8.502,0.07559,0,5.79285011799214,"Tier I",NA,NA
"42","international business research","Tier III",1,0.009,1,NA,NA,NA,NA,1,-2.1104540144305,"Tier III",NA,NA
"43","journal of developing areas","Tier III",1,0.458,8,NA,NA,NA,NA,1,1.95778532935923,"Tier II",NA,NA
"44","journal of economic entomology","Tier I",1,NA,NA,0.901,83,1.824,0.00968,0,2.88687009654622,"Tier II",NA,NA
"45","journal of environmental psychology",NA,1,NA,NA,1.805,97,3.494,0.00545,0,3.43324537689871,"Tier I",NA,NA
"46","journal of marriage and family","Tier I",1,NA,NA,2.046,128,2.238,0.00792,0,3.75774237219065,"Tier I",NA,NA
"47","journal of nutrition education and behavior","Tier III",1,NA,NA,1.017,60,2.491,0.00446,0,3.13664538968379,"Tier II",NA,NA
"48","journal of physics: conference series",NA,1,NA,NA,0.24,52,NA,NA,0,1.74314474848782,"Tier III",NA,NA
"49","journal of policy modeling","Tier II",1,3.893,18,0.716,38,0.993,0.00174,1,2.88479438985594,"Tier II",NA,NA
"50","journal of poverty","Tier III",1,NA,NA,0.304,11,NA,NA,0,-1.57799931023493,"Tier III",NA,NA
